id,current_passed,vnext_passed,outcome,current_top_title,vnext_top_title,current_top_section,vnext_top_section,current_confidence,vnext_confidence,current_evidence_approved,vnext_evidence_approved,vnext_fusion_strategy,vnext_candidate_count,vnext_selected_candidate_count,vnext_threshold_eligible_count,vnext_selector_rejected,current_failure_reasons,vnext_failure_reasons
recognized-manager-baseline,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-26: Recognized Manager,5.01,2-part-1-definition-26,0.667,0.692,True,True,weighted_score,140,140,137,False,[],[]
recognized-manager-missing-letter,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-26: Recognized Manager,5.01,2-part-1-definition-26,0.667,0.723,True,True,weighted_score,83,83,83,False,[],[]
recognized-manager-requirements-baseline,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-26: Recognized Manager,5.01,2-part-1-definition-26,0.384,0.61,True,True,weighted_score,145,145,145,False,[],[]
recognized-manager-british-and-typo,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-26: Recognized Manager,5.01,2-part-1-definition-26,0.37,0.774,True,True,weighted_score,141,141,141,False,[],[]
recognized-manager-joined-word,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-26: Recognized Manager,5.01,2-part-1-definition-26,0.701,0.76,True,True,weighted_score,87,87,87,False,[],[]
belgium-minimum-order-typo,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Belgium,International-Sponsoring-Directory.pdf - Forever Belgium,sponsoring-053-belgium,sponsoring-053-belgium,0.95,0.95,True,True,weighted_score,134,134,85,False,[],[]
mexico-sponsoring-multiple-typos,True,False,REGRESSED,International-Sponsoring-Directory.pdf - Forever Mexico,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-32: Sponsor,sponsoring-109-mexico,2-part-1-definition-32,0.715,0.593,True,True,weighted_score,117,117,117,False,[],"[""top title 'US-EN-Company-Policy.pdf - Sec 2-part-1-definition-32: Sponsor' does not contain 'Forever Mexico'""]"
preferred-customer-discount-release-gate,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-23: Preferred Customer,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-23: Preferred Customer,2-part-1-definition-23,2-part-1-definition-23,0.948,0.64,True,True,weighted_score,76,76,76,False,[],[]
monthly-bonus-payment-release-gate,True,False,REGRESSED,US-EN-Company-Policy.pdf - Sec 4.04-d: Bonuses are paid on the fifteenth of the month following that in which,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-20: Month,4.04-d,2-part-1-definition-20,0.339,0.595,True,True,weighted_score,119,119,118,False,[],"[""top title 'US-EN-Company-Policy.pdf - Sec 2-part-1-definition-20: Month' does not contain 'Sec 4.04-d'"", ""top section '2-part-1-definition-20' does not contain '4.04-d'""]"
supervisor-case-credits-release-gate,True,False,REGRESSED,US-EN-Company-Policy.pdf - Sec 4.01-b: Supervisor is achieved by generating a total of 10 Open Group Case Credits,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-7: Case Credit,4.01-b,2-part-1-definition-7,0.299,0.809,True,True,weighted_score,121,121,113,False,[],"[""top title 'US-EN-Company-Policy.pdf - Sec 2-part-1-definition-7: Case Credit' does not contain 'Supervisor is achieved'"", ""top section '2-part-1-definition-7' does not contain '4.01-b'""]"
us-payment-methods-release-gate,True,False,REGRESSED,US-EN-Company-Policy.pdf - Sec 13.01: (a) Preferred Customers and FBOs order directly from the Company at,US-EN-Company-Policy.pdf - Sec 1-part-2-definition-1: Approved FBO Website provides for,13.01,1-part-2-definition-1,0.201,0.192,True,False,weighted_score,107,107,101,False,[],"[""top title 'US-EN-Company-Policy.pdf - Sec 1-part-2-definition-1: Approved FBO Website provides for' does not contain '13.01'"", ""evidence rejected: insufficient_approved_evidence""]"
thailand-minimum-order-release-gate,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Thailand,International-Sponsoring-Directory.pdf - Forever Thailand,sponsoring-044-thailand,sponsoring-044-thailand,0.95,0.95,True,True,weighted_score,131,131,131,False,[],[]
kyrgyzstan-foreign-fbo-bonus-release-gate,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Kyrgyzstan,International-Sponsoring-Directory.pdf - Forever Kyrgyzstan,sponsoring-037-kyrgyzstan,sponsoring-037-kyrgyzstan,0.95,0.95,True,True,weighted_score,162,162,113,False,[],[]
unopened-product-return-window-release-gate,True,False,REGRESSED,"US-EN-Company-Policy.pdf - Sec 21.05: (a) FLP shall buy back any unsold, salable FLP product, except literature, that has","US-EN-Company-Policy.pdf - Sec 21.05-c: If an FBO returns any Combination Pak, and it is missing some product, the",21.05,21.05-c,0.179,0.192,True,False,weighted_score,120,120,108,False,[],"[""evidence rejected: insufficient_approved_evidence""]"
uruguay-phone-release-gate,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Uruguay,International-Sponsoring-Directory.pdf - Forever Uruguay,sponsoring-113-uruguay,sponsoring-113-uruguay,0.95,0.95,True,True,weighted_score,160,160,154,False,[],[]
