id,current_passed,vnext_passed,outcome,current_top_title,vnext_top_title,current_top_section,vnext_top_section,current_confidence,vnext_confidence,current_evidence_approved,vnext_evidence_approved,vnext_fusion_strategy,vnext_candidate_count,vnext_selected_candidate_count,vnext_threshold_eligible_count,vnext_selector_rejected,current_failure_reasons,vnext_failure_reasons
recognized-manager-baseline,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,5.01,5.01,0.667,0.691,True,True,rrf,136,136,136,False,[],[]
recognized-manager-missing-letter,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,5.01,5.01,0.667,0.689,True,True,rrf,75,75,75,False,[],[]
recognized-manager-requirements-baseline,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,5.01,5.01,0.384,0.499,True,True,rrf,142,142,142,False,[],[]
recognized-manager-british-and-typo,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,5.01,5.01,0.373,0.484,True,True,rrf,144,144,144,False,[],[]
recognized-manager-joined-word,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,5.01,5.01,0.701,0.705,True,True,rrf,89,89,89,False,[],[]
belgium-minimum-order-typo,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Belgium,International-Sponsoring-Directory.pdf - Forever Belgium,sponsoring-053-belgium,sponsoring-053-belgium,0.95,0.95,True,True,rrf,131,131,83,False,[],[]
mexico-sponsoring-multiple-typos,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Mexico,International-Sponsoring-Directory.pdf - Forever Mexico,sponsoring-109-mexico,sponsoring-109-mexico,0.715,0.656,True,True,rrf,116,116,116,False,[],[]
preferred-customer-discount-release-gate,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-23: Preferred Customer,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-23: Preferred Customer,2-part-1-definition-23,2-part-1-definition-23,0.95,0.946,True,True,rrf,75,75,75,False,[],[]
monthly-bonus-payment-release-gate,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 4.04-d: Bonuses are paid on the fifteenth of the month following that in which,US-EN-Company-Policy.pdf - Sec 4.04-d: Bonuses are paid on the fifteenth of the month following that in which,4.04-d,4.04-d,0.339,0.326,True,True,rrf,116,116,116,False,[],[]
supervisor-case-credits-release-gate,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 4.01-b: Supervisor is achieved by generating a total of 10 Open Group Case Credits,US-EN-Company-Policy.pdf - Sec 4.01-b: Supervisor is achieved by generating a total of 10 Open Group Case Credits,4.01-b,4.01-b,0.299,0.316,True,True,rrf,120,120,120,False,[],[]
us-payment-methods-release-gate,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 13.01: (a) Preferred Customers and FBOs order directly from the Company at,US-EN-Company-Policy.pdf - Sec 13.01: (a) Preferred Customers and FBOs order directly from the Company at,13.01,13.01,0.201,0.198,True,True,rrf,106,106,106,False,[],[]
thailand-minimum-order-release-gate,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Thailand,International-Sponsoring-Directory.pdf - Forever Thailand,sponsoring-044-thailand,sponsoring-044-thailand,0.95,0.95,True,True,rrf,133,133,133,False,[],[]
kyrgyzstan-foreign-fbo-bonus-release-gate,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Kyrgyzstan,International-Sponsoring-Directory.pdf - Forever Kyrgyzstan,sponsoring-037-kyrgyzstan,sponsoring-037-kyrgyzstan,0.95,0.95,True,True,rrf,184,184,136,False,[],[]
unopened-product-return-window-release-gate,True,False,REGRESSED,"US-EN-Company-Policy.pdf - Sec 21.05: (a) FLP shall buy back any unsold, salable FLP product, except literature, that has",US-EN-Company-Policy.pdf - Sec 21.03: (a) Retail/Preferred Customers are guaranteed 100% product satisfaction. Within,21.05,21.03,0.179,0.2,True,True,rrf,126,126,126,False,[],"[""top title 'US-EN-Company-Policy.pdf - Sec 21.03: (a) Retail/Preferred Customers are guaranteed 100% product satisfaction. Within' does not contain '21.05'"", ""top section '21.03' does not contain '21.05'""]"
uruguay-phone-release-gate,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Uruguay,International-Sponsoring-Directory.pdf - Forever Uruguay,sponsoring-113-uruguay,sponsoring-113-uruguay,0.95,0.95,True,True,rrf,164,164,164,False,[],[]
