id,current_passed,vnext_passed,outcome,current_top_title,vnext_top_title,current_top_section,vnext_top_section,current_confidence,vnext_confidence,current_evidence_approved,vnext_evidence_approved,vnext_fusion_strategy,vnext_candidate_count,vnext_selected_candidate_count,vnext_threshold_eligible_count,vnext_selector_rejected,current_failure_reasons,vnext_failure_reasons
recognized-manager-baseline,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,5.01,5.01,0.658,0.95,True,True,weighted_score,148,148,147,False,[],[]
recognized-manager-missing-letter,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,5.01,5.01,0.667,0.95,True,True,weighted_score,84,84,84,False,[],[]
recognized-manager-requirements-baseline,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,5.01,5.01,0.399,0.754,True,True,weighted_score,142,142,141,False,[],[]
recognized-manager-british-and-typo,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,5.01,5.01,0.367,0.73,True,True,weighted_score,141,141,140,False,[],[]
recognized-manager-joined-word,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,US-EN-Company-Policy.pdf - Sec 5.01: Recognized Manager:,5.01,5.01,0.701,0.95,True,True,weighted_score,92,92,92,False,[],[]
belgium-minimum-order-typo,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Belgium,International-Sponsoring-Directory.pdf - Forever Belgium,sponsoring-053-belgium,sponsoring-053-belgium,0.95,0.95,True,True,weighted_score,132,132,81,False,[],[]
mexico-sponsoring-multiple-typos,True,False,REGRESSED,International-Sponsoring-Directory.pdf - Forever Mexico,US-EN-Company-Policy.pdf - Sec 15.01-b: An FBO can be sponsored into a Country outside his/her Home Country by,sponsoring-109-mexico,15.01-b,0.715,0.507,True,True,weighted_score,119,119,118,False,[],"[""top title 'US-EN-Company-Policy.pdf - Sec 15.01-b: An FBO can be sponsored into a Country outside his/her Home Country by' does not contain 'Forever Mexico'""]"
preferred-customer-discount-release-gate,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-23: Preferred Customer,US-EN-Company-Policy.pdf - Sec 2-part-1-definition-23: Preferred Customer,2-part-1-definition-23,2-part-1-definition-23,0.95,0.95,True,True,weighted_score,75,75,75,False,[],[]
monthly-bonus-payment-release-gate,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 4.04-d: Bonuses are paid on the fifteenth of the month following that in which,US-EN-Company-Policy.pdf - Sec 4.04-d: Bonuses are paid on the fifteenth of the month following that in which,4.04-d,4.04-d,0.331,0.324,True,True,weighted_score,116,116,112,False,[],[]
supervisor-case-credits-release-gate,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 4.01-b: Supervisor is achieved by generating a total of 10 Open Group Case Credits,US-EN-Company-Policy.pdf - Sec 4.01-b: Supervisor is achieved by generating a total of 10 Open Group Case Credits,4.01-b,4.01-b,0.299,0.491,True,True,weighted_score,134,134,133,False,[],[]
us-payment-methods-release-gate,True,True,UNCHANGED,US-EN-Company-Policy.pdf - Sec 13.01: (a) Preferred Customers and FBOs order directly from the Company at,US-EN-Company-Policy.pdf - Sec 13.01: (a) Preferred Customers and FBOs order directly from the Company at,13.01,13.01,0.201,0.436,True,True,weighted_score,118,118,112,False,[],[]
thailand-minimum-order-release-gate,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Thailand,International-Sponsoring-Directory.pdf - Forever Thailand,sponsoring-044-thailand,sponsoring-044-thailand,0.95,0.95,True,True,weighted_score,131,131,129,False,[],[]
kyrgyzstan-foreign-fbo-bonus-release-gate,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Kyrgyzstan,International-Sponsoring-Directory.pdf - Forever Kyrgyzstan,sponsoring-037-kyrgyzstan,sponsoring-037-kyrgyzstan,0.95,0.95,True,True,weighted_score,185,185,137,False,[],[]
unopened-product-return-window-release-gate,True,True,UNCHANGED,"US-EN-Company-Policy.pdf - Sec 21.05: (a) FLP shall buy back any unsold, salable FLP product, except literature, that has","US-EN-Company-Policy.pdf - Sec 21.05: (a) FLP shall buy back any unsold, salable FLP product, except literature, that has",21.05,21.05,0.178,0.475,True,True,weighted_score,122,122,113,False,[],[]
uruguay-phone-release-gate,True,True,UNCHANGED,International-Sponsoring-Directory.pdf - Forever Uruguay,International-Sponsoring-Directory.pdf - Forever Uruguay,sponsoring-113-uruguay,sponsoring-113-uruguay,0.95,0.95,True,True,weighted_score,160,160,152,False,[],[]
